MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Pressure,Temp,Hour,Month,RainTomorrow
24.0,31.0,NNE,17.3,67.8,1011.0,26.0,0,1,Yes
24.0,31.0,NNE,15.1,69.26,1010.1,25.6,1,1,Yes
24.0,31.0,NNE,10.4,69.35,1009.6,25.0,2,1,Yes
24.0,31.0,NNE,10.8,73.73,1009.0,24.6,3,1,Yes
24.0,31.0,N,10.8,73.58,1009.0,25.0,4,1,Yes
24.0,31.0,NNE,10.4,75.53,1009.0,24.0,5,1,Yes
24.0,31.0,NNE,9.7,78.35,1009.4,24.0,6,1,Yes
24.0,31.0,ENE,11.5,77.92,1010.1,24.1,7,1,Yes
24.0,31.0,NNE,13.7,73.8,1011.0,25.0,8,1,Yes
24.0,31.0,NNE,15.1,73.97,1011.0,26.0,9,1,Yes
24.0,31.0,N,15.5,66.95,1012.0,27.9,10,1,Yes
24.0,31.0,NE,15.8,65.98,1011.0,29.0,11,1,Yes
24.0,31.0,W,13.7,62.28,1010.0,30.0,12,1,Yes
24.0,31.0,E,12.2,63.04,1009.1,30.0,13,1,Yes
24.0,31.0,W,16.9,62.28,1008.0,30.0,14,1,Yes
24.0,31.0,NE,15.1,58.82,1007.0,31.0,15,1,Yes
24.0,31.0,E,12.2,59.61,1007.1,30.9,16,1,Yes
24.0,31.0,N,8.3,66.18,1007.0,30.0,17,1,Yes
24.0,31.0,WNW,5.0,70.11,1007.0,29.0,18,1,Yes
24.0,31.0,W,5.0,74.73,1008.1,28.1,19,1,Yes
24.0,31.0,WSW,5.8,78.78,1009.0,27.0,20,1,Yes
24.0,31.0,W,5.8,78.78,1009.0,27.0,21,1,Yes
24.0,31.0,N,5.4,79.75,1010.0,27.0,22,1,Yes
24.0,31.0,N,6.8,83.57,1010.0,26.0,23,1,Yes
25.0,31.0,NE,6.1,69.74,1010.0,27.0,0,1,Yes
25.0,31.0,ENE,6.5,75.72,1010.0,26.1,1,1,Yes
25.0,31.0,N,7.9,73.97,1009.0,26.0,2,1,Yes
25.0,31.0,W,8.3,78.5,1009.0,25.0,3,1,Yes
25.0,31.0,W,7.6,84.49,1009.0,25.1,4,1,Yes
25.0,31.0,N,6.1,78.5,1009.0,25.0,5,1,Yes
25.0,31.0,W,6.1,78.5,1009.0,25.0,6,1,Yes
25.0,31.0,NE,8.6,79.5,1010.1,25.2,7,1,Yes
25.0,31.0,NNW,12.6,78.5,1011.0,25.0,8,1,Yes
25.0,31.0,NNW,15.5,69.74,1012.0,27.0,9,1,Yes
